code,name,description,category,url,public-database
LB-CR,,,LB,http://cr.justice.gov.lb/desc/desc.aspx,True
LB-MOI,,,LB,http://www.interior.gov.lb/,False
LC-COA,,,LC,https://gov-id-finder.codeforiati.org/countries/LC/,False
LI-COA,,,LI,https://gov-id-finder.codeforiati.org/countries/LI/,False
LK-COA,,,LK,https://gov-id-finder.codeforiati.org/countries/LK/,False
LK-DRC,,,LK,http://www.drc.gov.lk/,True
LK-NGO,,,LK,http://www.ngosecretariat.gov.lk/,True
LR-COA,,,LR,https://gov-id-finder.codeforiati.org/countries/LR/,True
LR-MFDPNGO,,,LR,https://www.mfdp.gov.lr/index.php/budget-planning/assistant-min-regional-sectoral/ngo-unit,False
LS-COA,,,LS,https://gov-id-finder.codeforiati.org/countries/LS/,True
LS-LCN,,,LS,http://www.lcn.org.ls/,False
LT-COA,,,LT,https://gov-id-finder.codeforiati.org/countries/LT/,False
LT-PVM,,,LT,https://www.vmi.lt/,True
LT-RC,,,LT,http://www.registrucentras.lt/jar/index_en.php,True
LU-COA,,,LU,https://gov-id-finder.codeforiati.org/countries/LU/,False
LU-RCS,,,LU,https://www.lbr.lu/,True
LV-COA,,,LV,https://gov-id-finder.codeforiati.org/countries/LV/,False
LV-RE,,,LV,http://www.ur.gov.lv/,True
LY-COA,,,LY,https://gov-id-finder.codeforiati.org/countries/LY/,False
MA-COA,,,MA,https://gov-id-finder.codeforiati.org/countries/MA/,False
MC-COA,,,MC,https://gov-id-finder.codeforiati.org/countries/MC/,False
MC-RCI,,,MC,https://service-public-entreprises.gouv.mc/Creation-d-activite/Demarches-de-creation/Immatriculation-et-declaration-d-existence/Le-Repertoire-du-Commerce-et-de-l-Industrie-RCI,True
MD-COA,,,MD,https://gov-id-finder.codeforiati.org/countries/MD/,False
MD-IDNO,,,MD,http://www.idno.md/,True
ME-COA,,,ME,https://gov-id-finder.codeforiati.org/countries/ME/,False
MF-COA,,,MF,https://gov-id-finder.codeforiati.org/countries/MF/,False
MG-COA,,,MG,https://gov-id-finder.codeforiati.org/countries/MG/,True
MG-NIF,,,MG,https://www.impots.mg/,False
MH-COA,,,MH,https://gov-id-finder.codeforiati.org/countries/MH/,False
MK-COA,,,MK,https://gov-id-finder.codeforiati.org/countries/MK/,False
ML-CCIM,,,ML,http://www.cci.ml/,False
ML-COA,,,ML,https://gov-id-finder.codeforiati.org/countries/ML/,True
ML-MAT,,,ML,http://www.matcl.gov.ml/,False
ML-NIF,,,ML,http://demarchesadministratives.gouv.ml/demarches/afficher/Numero-d-Identification-Fiscale-NIF,False
MM-COA,,,MM,https://gov-id-finder.codeforiati.org/countries/MM/,True
MM-MHA,,,MM,,False
MN-COA,,,MN,https://gov-id-finder.codeforiati.org/countries/MN/,False
MO-COA,,,MO,https://gov-id-finder.codeforiati.org/countries/MO/,False
MP-COA,,,MP,https://gov-id-finder.codeforiati.org/countries/MP/,False
MQ-COA,,,MQ,https://gov-id-finder.codeforiati.org/countries/MQ/,False
MR-COA,,,MR,https://gov-id-finder.codeforiati.org/countries/MR/,True
